Dependency,License URL,License Type
cel.dev/expr,https://github.com/google/cel-spec/blob/v0.19.1/LICENSE,Apache-2.0
connectrpc.com/connect,https://github.com/connectrpc/connect-go/blob/v1.17.0/LICENSE,Apache-2.0
connectrpc.com/grpcreflect,https://github.com/connectrpc/grpcreflect-go/blob/v1.2.0/LICENSE,Apache-2.0
cuelang.org/go,https://github.com/cue-lang/cue/blob/v0.11.0/LICENSE,Apache-2.0
dario.cat/mergo,https://github.com/imdario/mergo/blob/v1.0.1/LICENSE,BSD-3-Clause
github.com/Jeffail/gabs/v2,https://github.com/Jeffail/gabs/blob/v2.7.0/LICENSE,MIT
github.com/Jeffail/shutdown,https://github.com/Jeffail/shutdown/blob/v1.0.0/LICENSE,MIT
github.com/OneOfOne/xxhash,https://github.com/OneOfOne/xxhash/blob/v1.2.8/LICENSE,Apache-2.0
github.com/ProtonMail/go-crypto,https://github.com/ProtonMail/go-crypto/blob/v1.1.4/LICENSE,BSD-3-Clause
github.com/antlr4-go/antlr/v4,https://github.com/antlr4-go/antlr/blob/v4.13.1/LICENSE,BSD-3-Clause
github.com/aws/aws-sdk-go-v2,https://github.com/aws/aws-sdk-go-v2/blob/v1.32.6/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/config,https://github.com/aws/aws-sdk-go-v2/blob/config/v1.28.6/config/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/credentials,https://github.com/aws/aws-sdk-go-v2/blob/credentials/v1.17.47/credentials/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/feature/ec2/imds,https://github.com/aws/aws-sdk-go-v2/blob/feature/ec2/imds/v1.16.21/feature/ec2/imds/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/internal/configsources,https://github.com/aws/aws-sdk-go-v2/blob/internal/configsources/v1.3.25/internal/configsources/LICENSE.txt,Apache-2.0
